Index,Degree,Technical Skills,Soft Skills,Language,Experience Requirement,Experience Years Requirement
14031,"Bachelor?€?s Degree, enrolled in pharmacy program",None,None,None,None,None
14032,Bachelor?€?s or Post graduate degree,"SQL, NoSQL databases, Python, BASH, Ruby, Java, C/C++, HTML",None,None,"Prior experience with Java, C/C++, HTML",None
14033,Enrolled in bachelor?€?s/master?€?s degree program,None,None,None,Must be a U.S. citizen,None
14034,Currently enrolled in post-secondary education,Basic computer and data entry skills,"Positive attitude, drive to learn, proven ability to excel in physically demanding work",None,None,None
14035,Currently enrolled in Civil Engineering program,"Microsoft Office, AutoCAD, MicroStation, SAP2000, Midas Civil","Strong problem-solving and analytical skills, excellent written and verbal communication, ability to work in a team",None,None,None
14036,High school diploma or equivalent,"MS Office Suite, office equipment",Ability to maintain confidentiality,None,None,None
14037,Enrolled in ACPE accredited college or school of pharmacy,None,Strong communication and presentation skills,None,0-3 years relevant work experience,None
14038,Current student in four-year or graduate-level program,None,None,None,Permanent US work authorization,None
14039,Enrolled in veterinary medicine program,None,None,None,None,None
14040,Currently enrolled full-time,None,"Curious, proactive, eager to learn, detail-oriented, strong organizational and time-management skills, proactive and collaborative team player",None,None,None
14041,PhD,"Python, C++, CUDA, PyTorch, Jax, Tensorflow",None,None,Experience with at least one of the following areas: multimodal foundation model or robotics,None
14042,Bachelor?€?s,AUTOCAD,"Strong communication skills, both oral and written",None,None,None
14043,Bachelor,None,"Strong spatial and mechanical reasoning skills, excellent written and verbal communication skills",None,Software programming experience is preferred,None
14044,Undergraduate,"Microsoft Office (Word, Excel, PowerPoint, Access)","Strong written, verbal and interpersonal communication skills",None,None,None
14045,None,Excel,"Exceptional verbal and written communication skills, working effectively and personably with clients and co-workers",None,None,None
14046,Undergraduate or graduate,"Excel, Power BI","Strong willingness to learn and ask questions, ability to communicate in a professional business environment",None,None,None
14047,PhD,"Python, C/C++",None,None,Experience in analyzing human road user data,None
14048,Undergraduate,None,Strong interpersonal and communication skills,None,None,None
14049,Bachelor?€?s or Master?€?s,None,"Curious, proactive, and eager to learn in a fast-paced environment, adept at balancing multiple priorities and meeting deadlines",None,None,None
14050,Bachelor?€?s or Master?€?s,None,None,None,None,None
14051,Bachelor or related,"Linux/Unix, shell scripting, AWS, Git, Jenkins, GitLab CI/CD, Terraform, Ansible",None,None,None,None
14052,None,None,Strong communication abilities,None,None,None
14053,Undergraduate or graduate,"Microsoft Word, Microsoft Excel, Adobe Professional",None,None,None,None
14054,MS or PhD,None,None,None,Experience with extracellular vesicles characterization and purification,None
14055,None,None,"Interest in problem solving, helping people, and predicting legal trends in media, music, and communications",None,None,None
14056,Bachelor,None,"Strong communication skills, strong organizational skills, ability to coordinate across different tracks and groups, proven ability to work in a fast paced environment, ability to handle multiple tasks and prioritize",None,None,None
14057,Bachelor,None,None,None,3+ months of applied engineering experience,3+ months
14058,None,None,None,None,None,None
14059,None,"C++, C#, JavaScript, Unity, Unreal Engine",Excellent communication and interpersonal skills,None,Experience with game engines such as Unity or Unreal Engine,None
14060,Associate?€?s or above,Microsoft Office 365,"Strong attention to detail, communication, creativity and organizational skills",None,None,None
14061,Undergraduate or graduate,"Microsoft Office (Excel, Word, PowerPoint, Outlook and Teams)","Excellent written, verbal communication and presentation skills, strong analytical and problem-solving skills",None,None,None
14062,Bachelor,None,"Strong written and verbal communication skills, ability to multitask and manage multiple projects with competing deadlines, strong organizational skills and attention to detail",None,None,None
14063,BA/BS,None,Technical aptitude demonstrated through interest and exposure to new technology,None,0-6 months of field audio-visual or customer service experience,0-6 months
14064,MBA,"Excel, Google Sheets, PowerPoint, Google Slides",Outstanding written and verbal communication abilities,None,"2-5+ years of professional experience in consulting, finance, or related business operations",2-5+ years
14065,Sophomore or above,"Microsoft Office (Excel, Word, Outlook)","Strong organizational skills and attention to detail, detail-oriented mindset, motivated to learn",None,None,None
14066,Bachelor,CAD software,"Ability to work in a team environment, strong problem-solving skills, good communication skills",None,None,None
14067,Bachelor,None,"Strong project management, problem solving skills",None,None,None
14068,Bachelor,None,"Excellent communication skills, both written and verbal, strong time management skills, ability to maintain confidentiality, proactive and self-motivated",None,None,None
14069,Bachelor,AutoCAD,None,None,None,None
14070,None,"Microsoft Office Suite (Word, Excel)","Strong organizational skills, ability to work independently as well as in a team, excellent research, writing, and communication skills",None,None,None
14071,Bachelor?€?s,MS Office,Excellent written and verbal communication skills,None,None,None
14072,None,None,"Strong project management skills, Good collaboration and communication skills, Detail-oriented",None,None,None
14073,None,None,Strong written and verbal communication skills,None,You have experience and interest in planning and coordinating events,None
14074,Bachelor?€?s or advanced degree,None,None,None,Experience with technical skills and/or domains (preferred),None
14075,None,"MS Office, Word, Excel","Can do attitude, Willing to learn, Organized, Great follow through skills",None,None,None
14076,Bachelor?€?s,"Microsoft Windows, Office products",Willingness to learn new technologies,None,None,None
14077,Bachelor?€?s,"AutoCAD, Civil3D, ArcGIS","Effective communication, Teamwork, Ability to adapt and learn",None,None,None
14078,None,"Instagram, Facebook, Twitter, TikTok, Video editing",None,None,Experience working in a fast-paced news environment,None
14079,Master?€?s,None,"High level of skill in therapeutic engagement, Good diagnostic skills",None,None,None
14080,None,Social media,"Ability to work in a fast-paced environment, Ability to manage key stakeholders, Creative thinking skills, Critical thinking skills",None,Experience with social media,None
14081,Bachelor?€?s,None,"Great inter-personal and communication skills, Strong collaborator, Self-starter, Entrepreneurial spirit, Can do mentality, Good organizational skills, Customer-first attitude",None,None,None
14082,AAS degree,HVAC,"Excellent organizational, time management, stress management, analytical, problem-solving skills, Team player",None,None,None
14083,Bachelor?€?s,None,None,None,None,None
14084,Bachelor?€?s,None,"Strong analytical, problem-solving, communication skills, Proactive, Adaptable, Eager to contribute",None,None,None
14085,Bachelor?€?s,"C++, Go, Java, Python",None,None,None,None
14086,Bachelor?€?s,None,None,None,None,None
14087,Bachelor?€?s,"Microsoft Windows, Office products",Willingness to learn new technologies,None,None,None
14088,Bachelor?€?s,"Word, Excel, PowerPoint","Strong oral and written communication skills, Bias for action and implementation, Teamwork skills",None,None,None
14089,Bachelor?€?s or Master?€?s,None,None,None,None,None
14090,Bachelor?€?s or Master?€?s,"Python, C++, Verilog","Good written and verbal communication skills, Strong desire to learn and solve complex problems",None,None,None
14091,Bachelor?€?s,C,Capable of working in a team environment,None,None,None
14092,None,Microsoft Office,"Exceptional phone etiquette, Strong communication skills",None,None,None
14093,None,None,"Self-starter, Desire to learn and grow, Attention to detail, Comfort with cold calling and outreach",None,Proven related work experience,None
14094,Bachelor?€?s or Master?€?s,None,Passion for seeking out process enhancements or solutions,Fluent in oral and written English,None,None
14095,Bachelor?€?s,"Excel, Google Sheets","Strong attention to detail, Ability to collaborate with cross-functional teams, Strong problem-solving skills",None,None,None
14096,Bachelor?€?s or Master?€?s,"DNA/RNA extraction, quantitation, PCR","Excellent interpersonal and communications skills, Ability to work effectively as part of a team, Self-motivated, Detail-oriented, Curious, Eager to learn",None,Previous hands-on experience with molecular biology techniques,None
14097,High School Diploma/GED,"MicroStation, AutoCAD",None,None,Completed 1+ year(s) of Surveying courses,None
14098,None,"Grammarly, WordPress, HubSpot, Google Analytics","Strong writer and researcher, Passion for storytelling, Clear, engaging communication, Eager to learn, Self-starter, Great attention to detail, Ability to meet deadlines",None,None,None
14099,Bachelor?€?s or Master?€?s,None,None,None,Previous internship or co-op experience in the medical device industry is preferred,None
14100,Bachelor?€?s,"C++, C, Golang, TypeScript",Passionate about building highly reliable software,None,None,None
14101,Bachelor?€?s,"Figma, Sketch","Organizational, analytical, proactive",None,None,None
14102,None,Microsoft Office suite,"Self-directed, communication",None,None,None
14103,Bachelor?€?s,None,None,None,None,None
14104,Master?€?s,R,Teamwork,None,None,None
14105,"Bachelor?€?s, Master?€?s","Linux, Bash, Python, Git, Docker, Kubernetes","Problem-solving, communication",None,None,None
14106,Bachelor?€?s,"CAD/Pro-E, Microsoft Office",None,None,Some experience with manufacturing processes,None
14107,Bachelor?€?s,"Google Suite, Microsoft Office, LinkedIn","Interpersonal, teamwork, collaboration, attention to detail, organizational",None,None,None
14108,Bachelor?€?s,None,"Problem-solving, analytical, curious, ambitious, creative, entrepreneurial",None,None,None
14109,Bachelor?€?s,"Word, Excel, PowerPoint, Visio","Collaboration, organization, work ethic, detail-oriented",None,None,None
14110,Bachelor?€?s,"Word processing, graphics, spreadsheet",Data analysis,None,None,2 years
14111,Bachelor?€?s,None,None,None,None,None
14112,Bachelor?€?s,Microsoft Office,"Communication, collaboration, work ethic",None,None,None
14113,Bachelor?€?s,"SQL, Excel","Analytical, problem-solving, collaboration, communication",None,None,None
14114,Bachelor?€?s,None,"Attention to detail, customer service, communication, analytical, problem-solving",None,None,None
14115,None,"Excel, Outlook, PowerPoint, Word","Organizational, interpersonal, problem-solving, customer service",None,2 years of business experience,2 years
14116,"Bachelor?€?s, Master?€?s","C++, Rust, Python","Growth, leadership",None,"Experience with library design or writing high-performance code, Experience inspecting intermediate representations",None
14117,Bachelor?€?s,"Python, SQL, MS Office",Communication,None,None,None
14118,None,None,"Willingness, ability to follow standards, maintain sanitary conditions",None,None,None
14119,Bachelor?€?s,"Linux, Python",None,None,Experience in game automation,None
14120,Bachelor?€?s,None,"Problem-solving, analytical, interpersonal",None,None,None
14121,PhD,"Python, C++",None,None,"Demonstrated research/software engineering experience, At least one publication in top conferences",None
14122,"Bachelor?€?s, Master?€?s",None,None,English,None,None
14123,Bachelor?€?s,"Excel, PowerSchool","Organizational, communication, cultural competencies",None,At least 2 years of operational/analytic work experience,2 years
14124,Bachelor?€?s,None,None,None,None,None
14125,Bachelor?€?s,"Excel, PowerBI, AutoCAD, Arena, SQL, PLC",Communication,None,None,None
14126,Bachelor?€?s,"MS Word, Excel, SAP 2000, CSI Bridge, AutoCAD, MicroStation","Organizational, time management, communication",None,None,None
14127,"Bachelor?€?s, Master?€?s","CAD, spreadsheets","Communication, self-motivated, teamwork",None,Prior internship experience in Roadway and Highway Engineering,None
14128,"Bachelor?€?s, Master?€?s","AWS Redshift, SQL, Tableau, Excel",None,None,Proven track record running successful product analytics projects,None
14129,None,None,"Customer service, communication, organizational, teamwork",None,None,None
14130,None,Radiographic technology,None,None,0-1 years,0-1 years
14131,MBA,None,"Strong project management skills, Proven leadership skills",None,"Experience in biotech, biotech consulting, or biotech investing preferred",None
14132,Bachelors or advanced degree,None,None,None,None,None
14133,Bachelor of Science (BS) Degree in Electrical Engineering,"CAD and/or BIM software, MS Office Suite",Ability to clearly communicate,None,None,None
14134,PhD,None,"Exceptional organizational and time management skills, Excellent written and verbal communication skills, Ability to work independently and collaborate effectively in a team",None,None,None
14135,None,None,"Excellent verbal and written communication skills, self-management, responsibility, friendliness, proactivity, creativity, quick learning",English,None,None
14136,None,None,"Excellent communication and collaboration skills, Confidence to take on big initiatives and lead projects",None,Web development experience beyond coursework,None
14137,Bachelor?€?s or Master?€?s degree,"Excel, SQL",Excellent communication skills,None,Strong analytical skills with experience in large datasets,None
14138,Bachelor?€?s or Master?€?s degree,None,"Advanced verbal and written communication skills, Ability to apply critical thinking skills and innovation",None,None,None
14139,None,None,"Strong verbal and written communication skills, Ability to build relationships and work collaboratively, Strong problem-solving and analytical abilities, Excellent organizational and time management skills",None,None,None
14140,Bachelor?€?s or graduate degree,None,"Strong interpersonal skills, Ability to work effectively in a dynamic environment",None,3+ months experience in corporate and business functions,3+ months
14141,Bachelor's degree,"Marketo, Salesforce",Excellent verbal and written communication skills,None,Experience with developing and delivering presentations,None
14142,None,None,"Excellent written and verbal communication, Strong time management and prioritization instincts",None,Experience and/or interest in nonprofit advocacy,None
14143,Associate or Bachelor's degree,Microsoft Office,"Strong communication skills, Ability to work collaboratively with a team",None,Knowledge of healthcare industry preferred,None
14144,Fashion Design degree or diploma,"Microsoft Office, Adobe Illustrator","Excellent verbal and written communication skills, Attention to detail and discretion, Demonstrated ability to take initiative",None,None,None
14145,Bachelor of Science,None,"Strong organizational skills, Self-Starter, proactive, Ability to quickly identify and prioritize issues, create solutions and meet deadlines",None,None,None
14146,Master?€?s degree,Microsoft Office,"Strong verbal and written communication skills, Strong organizational skills",None,None,None
14147,None,None,"Excellent verbal and written communication skills, Meticulous and attentive to detail, Proactive and results oriented",Bilingual,None,None
14148,None,None,None,None,Have 180 days of service or fewer remaining before discharge,None
14149,Bachelor's degree,"Python, Spark, SQL, Javascript, Google Suite","Strong communication skills, proactive attitude",None,None,None
14150,B.A. or B.S. degree,"Excel, PowerPoint, Word","Strong communication skills, Excellent project management skills, Solid interpersonal skills",None,None,None
14151,None,None,"Strong communication skills, Strong customer service skills, Willingness to learn and take on different projects, Ability to adapt to changing environments",None,Previous experience in a customer service position preferred,None
14152,None,None,"Goal-oriented and effective time management skills, Strong customer interpersonal skills, Ability to meet and befriend cold call prospects",None,Former sales experience preferred,None
14153,None,None,"Ability to work collaboratively in a team, Excellent communication skills, Problem-solving capabilities, Willingness to learn and take on real-world tasks",None,None,None
14154,PhD Level Degree,Python,Great communication/presentation skills,None,Hands on project experience with generative models and LLM,None
14155,MBO or HBO degree,"Excel, Oracle NetSuite",Strong affinity with financial processes and systems,"Dutch, English",Prior experience with Excel,None
14156,PharmD,None,"Strong verbal, non-verbal and written communication skills, Ability to complete all required training within state guidelines",None,0-3 years prior relevant work experience,0-3 years
14157,PhD Degree,"Python, C, C++, HLSL, Perl, CUDA, PyTorch",None,None,Research experience in graphics and related areas,None
14158,Associates Degree,"Autodesk Civil 3D, Microsoft Office, CAD software, BIM",Ability to clearly communicate,None,Prior internship experience in the building design consulting industry preferred,None
14159,Bachelors?€? degree,None,Enthusiastic about working in a manufacturing/medical device environment,None,None,None
14160,None,None,"Strong analytical and problem-solving skills, Excellent communication and teamwork skills, Ability to work independently and manage multiple tasks",None,Basic understanding of AI concepts and technologies,None
14161,Bachelor?€?s or equivalent,"MS Excel, MS Word, MS Power Point, Adobe Acrobat, AutoCAD","Critical thinking, organization",English,None,None
14162,Bachelor?€?s,None,None,None,None,None
14163,None,None,None,None,None,None
14164,None,Excel,"Multi-tasking, communication, quick learning",None,None,None
14165,Bachelor?€?s or equivalent,None,"Attention to detail, experimental process rigour",None,Previous work experience in a wet lab setting,None
14166,Bachelor?€?s or Master?€?s,None,"Communication, teamwork, positive attitude, desire to learn",None,None,None
14167,Bachelor?€?s or Master?€?s,"Microsoft Office Suite, Google Analytics, Looker","Research, writing, presentation, communication, organizational, attention to detail",None,None,None
14168,Master?€?s,".NET, C#, Java, SQL",None,None,"Experience with .NET, C#, or Java",None
14169,None,None,"Customer service, communication, time management, confidentiality",None,None,None
14170,Bachelor?€?s or Master?€?s,"PowerBI, Tableau, Microsoft Suite",None,None,"Prior experience with PowerBI, Tableau, or related software",None
14171,Bachelor?€?s or equivalent,MS Office,"Team-oriented, self-motivated, multitasking, organizational",None,Hands-on experience with mammalian cell culture and aseptic techniques,None
14172,Bachelor?€?s,Microsoft Office,"Autonomous, well-organized, communication, networking",None,None,None
14173,Bachelor?€?s,"Microsoft Suites, Excel, Illustrator, PLM",None,None,None,None
14174,Bachelor?€?s,None,"Attention to detail, organizational",None,Experience with reconciliation,None
14175,Bachelor?€?s or Master?€?s,"Microsoft Excel, PowerPoint, CRM tools","Analytical, critical thinking, communication, project management",None,None,None
14176,Bachelor?€?s or Master?€?s,None,"Dependable, people-oriented, public speaking",None,None,None
14177,Juris Doctor,None,"Communication, organizational, interpersonal, teamwork",None,None,None
14178,DVM or equivalent,None,Communication,None,Ability to provide clinical care,None
14179,Bachelor?€?s,"REVIT Modeling, CADD",None,None,REVIT Modeling and clash detection experience,None
14180,None,None,"Communication, detail-oriented, self-starter",None,None,None
14181,Bachelor?€?s,None,None,None,None,None
14182,Bachelor?€?s,"MS Office, database and ERP software",None,US Citizenship,None,None
14183,None,"Python, React, JavaScript",Problem-solving,None,"Experience with Python, React, JavaScript",None
14184,DVM,None,None,None,None,None
14185,None,None,"Detail-oriented, multitasking, project management",None,Experience in a quantitative field,None
14186,Bachelor?€?s,"Microstation, AutoCAD Civil 3D, MS Office",Communication,None,None,None
14187,None,"TypeScript, Javascript, C#, Python, HTML, JSON",Communication,None,None,None
14188,None,None,"Communication, collaboration, willingness to learn",None,Interest in media sales,None
14189,Bachelor?€?s or equivalent,"C#, C/C++, Java, JavaScript, Python, Node.js, Reach.js, Go, Rust","Analytical, curiosity, collaborative",None,Previous work or classroom experience,None
14190,None,None,None,None,None,None
14191,None,None,None,None,None,None
14192,Bachelor?€?s or Master?€?s,spreadsheet software,"Strong written and verbal communication skills, Proven analytical and critical thinking skills",None,None,None
14193,None,Excel,None,None,Experience in shipping,None
14194,High school graduate or equivalent,None,None,None,"No experience required if certified; if not certified, equivalent experience is required",None
14195,Senior undergraduate or graduate,computers and software applications,None,None,None,None
14196,Culinary institution educated preferred,"deep fryer, broiler, stove, steamer, food processor, mixer, slicer, oven, steam table, tilt kettle, waffle iron, flat top grill",Ability to multi-task,None,Minimum two years culinary or related work experience,2+ years
14197,Post-secondary degree,None,"Data manipulation and analysis skills, Knowledge of Information Security processes, procedures and controls",None,"Experience in information security, technology, business requirements gathering and reporting in a financial services setting",Typically up to 2 years
14198,Bachelor?€?s,None,None,None,None,None
14199,Bachelors in progress,None,"Sound analytical and critical thinking skills, Strong oral and written communication skills",None,None,None
14200,Bachelor?€?s or recent graduate,"Excel, Word",Ability to communicate effectively and tactfully,None,"1+ years of experience working with or studying video, photography, or editing",1+ years
14201,None,Microsoft Office products,"Excellent oral and written communication skills, Must be able to learn new equipment quickly",None,1 to 2 years?€? experience in Computer Operations and computer hardware/software,1-2 years
14202,Post Secondary,"Microsoft Office applications, AS400","Ability to communicate in a professional, positive, courteous manner, Must be detail oriented, punctual",None,None,None
14203,"Junior, senior, or masters-level",None,"Strong time management skills, Strong written and verbal communication skills, Strong quantitative, analytical, and problem-solving skills, Strong interpersonal and communication skills",None,None,None
14204,None,None,"Proven leadership skills, Superior communication skills, Analytical and planning skills",None,None,None
14205,3rd year of Bachelor?€?s or 1st year of Master?€?s,None,Strong public speaking and presentation skills,None,Project experience demonstrating strong analytical and modeling skills,None
14206,2nd year undergraduate,"Advanced Excel, VBA","Strong analytical skills, Excellent communication skills",None,None,None
14207,None,None,"Strong interpersonal skills, Excellent time management skills",None,None,None
14208,None,None,"Ability to enhance communication skills, Knowledge of OTC products, disease state management, drug therapy, and patient counseling skills",None,None,None
14209,None,"Google Workspace, X, Facebook, Instagram, Snapchat, TikTok","Excellent communication, time management, and organizational skills",None,Experience at a campus publication or as an editorial intern,None
14210,Pursuing a degree,"Excel, PowerPoint","Effective Communication, Problem Solving Ability, Team Player",None,None,None
14211,Final year Computer Science,"Go, Java, Python, C++",Good verbal and written communication skills,English,Existing exposure to Go / Java / Python / C++ is considered an advantage,None
14212,None,None,"Excellent organizational and communication skills, Detail-oriented and customer service-driven, Strong desire to learn",None,Experience in HR or department support,None
14213,Expected graduation date of Fall 2025 or Spring 2026,None,"Excellent verbal & written communication skills, Strong organizational skills, A collaborative team player with a desire to help others",None,None,None
14214,Enrolled in a course,None,"Excellent oral and written communication skills, Outstanding editing and proofreading skills, Ability to prioritize and balance multiple tasks, Must be detail oriented",None,None,None
14215,Actively enrolled in an ACPE accredited college or school of pharmacy,None,Strong communication and presentation skills,None,0-3 years relevant work experience,0-3 years
14216,Bachelor?€?s,"ERP systems, MS Office",Excellent communication and negotiation skills,"Perfectly bilingual, both written and spoken","Minimum 2 years of experience in Supply Chain Operations, Procurement, and Supplier Relationship Management",2+ years
14217,None,None,"Detail-oriented, Creative thinking, Strong problem-solving skills, Strong interpersonal skills, Ability to prioritize and meet deadlines",None,None,None
14218,None,Microsoft Office Products,"Excellent oral and written communication skills, Critical thinking with excellent judgment and initiative, Self-motivator with great attention to detail, Proven analytical skills",None,None,None
14219,2nd year University,None,Excellent communication skills,English,None,None
14220,Currently pursuing a degree,Excel,"Strong analytical skills, Excellent oral and written communication skills, Good critical thinking skills",None,None,None
14221,None,None,Strong communication and presentation skills,None,0-3 years relevant work experience,0-3 years
14222,None,None,"Strong written and verbal communication skills, Highly detail oriented, Ability to adapt and prioritize effectively",None,None,None
14223,Bachelor?€?s,Scripting and programming languages,Excellent problem-solving and analytical skills,None,None,None
14224,Bachelor?€?s,"Microsoft Excel, financial software","Excellent communication and interpersonal skills, Attention to detail, strong organizational skills",None,None,None
14225,"Master?€?s, PhD","Python, PyTorch, TensorFlow, scikit-learn, Hugging Face","Strong problem-solving skills, Ability to work independently and in a team",None,None,None
14226,None,None,"Strong interpersonal and communication skills, Helpful attitude, Effective organization skills, High self-motivation",None,Experience managing desktop and laptop computers,None
14227,Bachelor?€?s,"Google Workspace Tools, Adobe Suite, Figma","Passionate about learning, First Generation college students encouraged",None,None,None
14228,"Bachelor?€?s, Master?€?s",None,None,None,None,None
14229,None,None,"Strong organizational skills, Ability to work independently and collaboratively",None,None,None
14230,Bachelor?€?s,None,Strong team player abilities,None,None,None
14231,Bachelor?€?s,"Banner, PowerSchool, data management tools","Strong organizational and analytical skills, Excellent interpersonal and communication abilities",None,At least 3 years of experience in student records management,3+ years
14232,"Master?€?s, PhD","R, R Shiny, MySQL, SQLite","Good communication, collaboration, and interpersonal skills",None,None,None
14233,Bachelor?€?s,None,Excellent communication and interpersonal skills,None,None,None
14234,None,None,None,None,Must have successfully completed at least one (1) clinical semester,None
14235,"Bachelor?€?s, Master?€?s",None,"Strong technical aptitude, Effective verbal and written communication skills, Ability to multi-task, prioritize, take initiative",None,None,None
14236,"Bachelor?€?s, Master?€?s",Python,Ability to compose and deliver reports,None,Experience with electronic materials analysis,None
14237,Bachelor?€?s,None,"Excellent verbal & written communication skills, Strong organizational skills, Collaborative team player",None,None,None
14238,"Bachelor?€?s, Master?€?s",None,"Excellent communication, time management, leadership skills, Flexible and adaptable team player",None,None,None
14239,"Bachelor?€?s, Master?€?s",None,"Strong organizational skills, attention to detail, Ability to work independently and in a team, Excellent written and verbal communication skills",None,None,None
14240,Bachelor?€?s,"Microsoft Word, Excel","Exceptional attention to detail, organizational skills, Strong analytical and reporting capabilities",None,None,None
14241,Bachelor?€?s,"2D and 3D modeling software, Inventor, Vault, Microsoft Office Suite",None,None,None,None
14242,Bachelor?€?s,"Oscilloscopes, logic analyzers, Altium Designer, C/C++",None,None,None,None
14243,None,"Microsoft Word, Excel, PowerPoint, Outlook","Outstanding verbal and written communication, presentation and interpersonal skills, Organized individual with initiative",None,None,None
14244,Bachelor?€?s,None,Strong foundation in engineering first principles,None,None,None
14245,Bachelor?€?s,None,"Strong written, verbal, and interpersonal communication skills, Ability to work independently and as a team member",None,None,None
14246,"Bachelor?€?s, Master?€?s",None,"Great inter-personal and communication skills, Strong collaborator, Self-starter with entrepreneurial spirit",None,None,None
14247,Bachelor?€?s,Microsoft Excel,"Strong organizational and time management skills, Ability to learn quickly, Detail-oriented",None,None,None
14248,"Bachelor?€?s, Master?€?s",Microsoft Excel,"Strong written and verbal communication skills, Ability to interact with colleagues at all levels","English, French",None,None
14249,Bachelor?€?s,"Microsoft Excel, Power BI, Tableau","Strong analytical and problem-solving skills, Detail-oriented and organized",None,None,None
14250,Bachelor?€?s,"Office suite, Excel",Bonne communication verbal et ??crite,"French, English",Connaissance de moins d?€?un an en fabrication alimentaires ou en fabrication pharmaceutique,<1 year
14251,None,"Looker, Tableau, Microsoft Power BI","Outstanding communication and presentation skills, foster collaboration and teamwork",None,Experience in various analytical roles,None
14252,Master Degree in Computer Science,"Javascript, Java, C, React/Remix framework, HTML, Angular",None,English,software development experience,None
14253,Currently enrolled in a post-secondary program,None,"Ability to identify problems with laboratory equipment, Ability to follow instructions for handling biological hazards, Clerical and customer service skills",None,None,None
14254,Pursuing a degree in a bachelor's program,None,Have a technical aptitude to learn new applications quickly,None,None,None
14255,"Enrolled in a Civil Engineering, Geology, or related program",None,Strong problem-solving and analytical skills,None,None,None
14256,Working towards the achievement of a bachelor?€?s degree,Microsoft (MS) Windows and Office products,Willingness to learn new technologies,None,None,None
14257,Bachelor?€?s or Master?€?s degree in a relevant discipline,None,"Advanced verbal and written communication skills, Ability to apply critical thinking skills and innovation",None,None,None
14258,"Pursuing or recently completed a degree in Accounting, Finance, Business or a related field",Microsoft Suite,"Strong attention to detail and accuracy, Excellent organizational skills, Strong written and verbal communication skills",None,None,None
14259,Pharmacy Student or Intern registered with the OCP,HealthWatch Computer system,"Superior customer relations skills, Excellent communication and interpersonal skills",None,None,None
14260,"Current enrollment/recent completion of Bachelor?€?s or Master?€?s degree in Mechanical/Automotive Engineering, Data Science, Computer Science or related field","Microsoft Office products, Excel, Python, VBA, MATLAB, Git",Detail-oriented mindset,None,"Experience with Microsoft Office products, especially Excel, Experience with Python, VBA, MATLAB, or other programming languages, Experience with Git version control software",None
14261,Actively enrolled in a US school of pharmacy,None,"Promote trust and respect among associates, Gain and maintain knowledge of pharmaceutical products, Provide drug counseling to customers",None,None,None
14262,Pursuing a bachelor's degree in Occupational Health and Safety or similar field,Microsoft Office Suite,"Strong communication, analytical, and problem solving skills",None,None,None
14263,At least two years completed toward bachelor's degree,Microsoft Office Suite,"A self-starter, who is reliable, and gets things done as efficiently as possible",None,None,None
14264,Post secondary education,None,"Positive attitude and strong work ethic, Excellent oral and written communication skills, Attention to detail, Ability to problem solve and make decisions",None,None,None
14265,"Current enrollment in a college or university and working towards a bachelor or master?€?s degree in science, engineering, or technology.","AutoCAD, Microsoft Office Applications","Good communication and collaboration skills, Technical writing skills",None,None,None
14266,Currently enrolled in a degree program,"SQL, Excel","Ability to work well with cross-functional teams, Detail-oriented, organized, and capable of managing multiple tasks",None,Strong analytical mindset with experience in data analysis,None
14267,Undergraduate or graduate student in final year or recent graduate,Microsoft Office Suite,"Strong oral, written, and interpersonal communication skills",None,None,None
14268,"Pursuing a degree in Computer Science, Computer Engineering or related field","C++, Java, Python","Strong quantitative skills, Analytical skills, Problem-solving skills",None,None,None
14269,Currently enrolled in or pursuing an Associates Degree,None,None,None,"In-Vivo laboratory experience preferred, In-Vivo Husbandry experience preferred",None
14270,Currently enrolled in a four-year college and returning to school following the internship,Microsoft Excel,Good communication skills,None,None,None
14271,PharmD graduate of a U.S. accredited program,None,"Strong verbal, non-verbal, and written communication skills",None,0-3 years of relevant work experience,0-3 years
14272,"Junior or rising senior pursuing a Bachelor?€?s degree in Accounting, Finance, or a related field","Microsoft Office, Excel","Proven ability to manage multiple tasks and meet deadlines, Strong analytical and critical thinking skills",None,None,None
14273,"Currently enrolled in a Bachelor's program in Computer Science, Engineering, or a related field.","Selenium with Java/JavaScript, Playwright with TypeScript, Azure ADO",Have good debugging skills,None,"Hands-on experience with automated testing tools, Hands on or working knowledge of integrating automated scripts into CICD pipelines, Experience working on Agile & Waterfall projects",None
14274,Currently pursuing a Bachelor's degree,None,Strong interest in pursuing professional sales,None,None,None
14275,Currently enrolled in a University undergraduate or graduate program,"Microsoft Word, Excel, Outlook, Salesforce.com, SAP, JDE","Ability to work independently and as part of a team, Excellent communication and interpersonal skills",None,None,None
14276,Enrolled in an MBA or equivalent graduate program,None,"Strong interest in renewable energy technologies, finance, and environmental sustainability",None,"3+ years experience building and maintaining complex financial models, Project finance deal experience preferred, Experience at top tier investment banks and private equity shops preferred",3+ years
14277,Must be enrolled in a full-time undergraduate program at an accredited 4-year institution,TikTok and other social media platforms,"Excellent interpersonal and communication skills, Ability to thrive in a fast-paced, dynamic, and deadline driven environment",None,Experience in creating engaging video content,None
14278,"Currently enrolled in law school or a graduate program in criminal justice, public policy, or related field",None,"Strong research and writing skills, Oral communication skills, Detail-oriented and creative, Commitment to social justice ideals",None,None,None
